Draft_Pick,Historical Value
1.01,1247.29375
1.02,578.0775000000001
1.03,424.2944444444444
1.04,445.905
1.05,549.6500000000001
1.06,854.9666666666667
1.07,598.3625
1.08,283.2088888888889
1.09,757.7888888888889
1.1,337.3333333333333
1.11,893.75
1.12,710.3666666666667
2.01,791.66875
2.02,393.37777777777774
2.03,238.78888888888892
2.04,668.2083333333334
2.05,345.1175
2.06,1169.8166666666666
2.07,833.48
2.08,226.01555555555555
2.09,747.8458333333333
2.1,359.2033333333334
2.11,600.38
2.12,341.4444444444445
3.01,244.65
3.02,429.46875
3.03,353.07
3.04,658.5791666666668
3.05,867.2291666666667
3.06,278.9125
3.07,432.71875
3.08,757.5
3.09,1179.0375
3.1,90.44166666666668
3.11,91.54583333333333
3.12,148.46666666666667
4.01,598.1750000000001
4.02,117.40000000000002
4.03,617.55
4.04,585.8666666666667
4.05,547.1099999999999
4.06,239.45
4.07,64.19166666666666
4.08,2095.475
4.09,63.2
4.1,219.6833333333333
4.11,398.77777777777777
4.12,384.0333333333333
5.01,140.33333333333334
5.02,268.82500000000005
5.03,224.75
5.04,92.4
5.05,16.666666666666668
5.06,15.8
5.07,105.60000000000001
5.08,5.0
5.11,17.0
